train_total_loss,train_vector_loss,train_position_loss,val_total_loss,val_vector_loss,val_position_loss,test_total_loss,test_vector_loss,test_position_loss,ext_total_loss,ext_vector_loss,ext_position_loss
0.006480643525719643,5.990617752075195,0.0004900253261439502,0.007032246328890324,5.9867634773254395,0.0010454821167513728,0.007065795827656984,5.9867939949035645,0.001079001696780324,0.007260033395141363,5.9881367683410645,0.001271896413527429
0.006947508547455072,5.990346431732178,0.0009571622940711677,0.007476836908608675,5.986886024475098,0.001489950460381806,0.007510460913181305,5.986912727355957,0.0015235471073538065,0.007694815751165152,5.988044738769531,0.0017067710869014263
0.007290113717317581,5.990853309631348,0.0012992601841688156,0.0089426813647151,5.983056545257568,0.002959625329822302,0.008987167850136757,5.983139514923096,0.0030040282290428877,0.009348027408123016,5.984703540802002,0.003363324562087655
0.007639351300895214,5.990928649902344,0.0016484229126945138,0.008576741442084312,5.995106220245361,0.0025816350243985653,0.008530920371413231,5.994954586029053,0.0025359652936458588,0.008460912853479385,5.995205402374268,0.002465707715600729
0.007863405160605907,5.990006446838379,0.0018733990145847201,0.008171746507287025,5.990673542022705,0.002181072486564517,0.008194888941943645,5.990565776824951,0.002204323187470436,0.008221080526709557,5.990638732910156,0.002230440964922309
0.008069940842688084,5.9907050132751465,0.0020792365539819,0.00908970832824707,5.985157489776611,0.0031045502983033657,0.009105282835662365,5.985180377960205,0.0031201019883155823,0.009471406228840351,5.986496925354004,0.003484909189864993
0.008261560462415218,5.989987850189209,0.0022715723607689142,0.009650255553424358,5.996566295623779,0.003653689054772258,0.00962065439671278,5.996340751647949,0.0036243137437850237,0.009418418630957603,5.995945453643799,0.003422471694648266
0.008414890617132187,5.9903645515441895,0.0024245253298431635,0.009895406663417816,5.981569766998291,0.003913835622370243,0.009937973693013191,5.981626987457275,0.0039563472382724285,0.010441958904266357,5.983112812042236,0.004458846524357796
0.008549649268388748,5.989891529083252,0.002559757325798273,0.010435446165502071,5.997787952423096,0.004437658470124006,0.010389677248895168,5.9975361824035645,0.004392140544950962,0.010142549872398376,5.997106552124023,0.004145442508161068
0.00866646971553564,5.990118503570557,0.0026763509958982468,0.010487820021808147,5.980404853820801,0.004507414996623993,0.010545646771788597,5.980484962463379,0.004565161652863026,0.011007453314960003,5.982180118560791,0.005025272257626057
0.008755502291023731,5.989682674407959,0.0027658191975206137,0.010589742101728916,5.996707916259766,0.004593034740537405,0.010537025518715382,5.996453762054443,0.004540571942925453,0.01028271485120058,5.996150016784668,0.004286563023924828
0.008833453059196472,5.9899420738220215,0.0028435110580176115,0.010119609534740448,5.981677055358887,0.004137933254241943,0.010182092897593975,5.981759071350098,0.004200333263725042,0.010637334547936916,5.983351707458496,0.0046539828181266785
0.00890455674380064,5.989434242248535,0.0029151225462555885,0.00996338203549385,5.993974208831787,0.003969407174736261,0.009925661608576775,5.993752479553223,0.003931908868253231,0.00971824862062931,5.9935431480407715,0.0037247054278850555
0.008966460824012756,5.989744186401367,0.0029767167288810015,0.009123706258833408,5.984198570251465,0.0031395067926496267,0.009156939573585987,5.984264373779297,0.003172675147652626,0.009522289969027042,5.985583782196045,0.003536706091836095
0.009022657759487629,5.98919153213501,0.0030334647744894028,0.008769126608967781,5.9891815185546875,0.0027799447998404503,0.008759639225900173,5.989037036895752,0.002770601538941264,0.008713032118976116,5.98927116394043,0.002723761834204197
