train_total_loss,train_vector_loss,train_position_loss,val_total_loss,val_vector_loss,val_position_loss,test_total_loss,test_vector_loss,test_position_loss,ext_total_loss,ext_vector_loss,ext_position_loss
0.0003907573991455138,0.022590214386582375,0.0003681671805679798,3.620121060521342e-05,0.00893579050898552,2.726542152231559e-05,4.020593041786924e-05,0.008966547437012196,3.123938222415745e-05,0.00011258685844950378,0.01957741193473339,9.300944657297805e-05
0.0003898977884091437,0.022555598989129066,0.0003673421742860228,3.616106550907716e-05,0.00896372739225626,2.7197333110962063e-05,4.016975071863271e-05,0.008983992971479893,3.1185754778562114e-05,0.00011189595534233376,0.019566865637898445,9.23290936043486e-05
0.0003890424850396812,0.022521138191223145,0.0003665213589556515,3.612653381424025e-05,0.008992088958621025,2.713444337132387e-05,4.0153197915060446e-05,0.009003621526062489,3.1149575079325587e-05,0.00011177387204952538,0.019576704129576683,9.219717321684584e-05
0.00038819131441414356,0.022486843168735504,0.00036570444353856146,3.6130113585386425e-05,0.008956517092883587,2.7173600756214e-05,4.012948556919582e-05,0.008975952863693237,3.115353683824651e-05,0.00011211489618290216,0.019568191841244698,9.254671022063121e-05
0.0003873441310133785,0.022452641278505325,0.0003648914862424135,3.613919034251012e-05,0.00894430372864008,2.719488475122489e-05,4.013964644400403e-05,0.008972733281552792,3.1166913686320186e-05,0.00011252363765379414,0.019624702632427216,9.289893932873383e-05
0.0003865010803565383,0.022418636828660965,0.00036408245796337724,3.615238529164344e-05,0.008932121098041534,2.7220259653404355e-05,4.013200305053033e-05,0.008965457789599895,3.116654261248186e-05,0.00011220004671486095,0.01963762752711773,9.256241173716262e-05
0.00038566216244362295,0.022384751588106155,0.00036327738780528307,3.616947651607916e-05,0.008922131732106209,2.724734258663375e-05,4.01370161853265e-05,0.008961481042206287,3.11755393340718e-05,0.00011210222146473825,0.019667573273181915,9.243464592145756e-05
0.0003848270862363279,0.022351063787937164,0.0003624760138336569,3.610122803365812e-05,0.008972767740488052,2.7128460715175606e-05,4.010526754427701e-05,0.00899635162204504,3.110891339019872e-05,0.00011188576900167391,0.01967785879969597,9.220790525432676e-05
0.0003839961427729577,0.02231754921376705,0.00036167859798297286,3.607446706155315e-05,0.008984062820672989,2.7090407456853427e-05,4.0083210478769615e-05,0.009001249447464943,3.108196324319579e-05,0.00011196504055988044,0.019664766266942024,9.230025898432359e-05
0.00038316918653436005,0.022284233942627907,0.0003608849074225873,3.608379847719334e-05,0.00895805936306715,2.7125741326017305e-05,4.008004907518625e-05,0.008985421620309353,3.109463068540208e-05,0.00011239766899961978,0.01969572715461254,9.270194277632982e-05
