train_dataset: 280
val_dataset: 35
test_dataset: 35
ext_dataset: 150
No Weights Found!! Starting From Scratch
val_total_loss:6.81E-02, val_vector_loss:6.63E-01, val_position_loss:6.48E-02,
ext_total_loss:7.87E-02, ext_vector_loss:1.04E+00, ext_position_loss:7.35E-02,
val_total_loss:8.44E-02, val_vector_loss:6.76E-01, val_position_loss:8.10E-02,
ext_total_loss:9.77E-02, ext_vector_loss:1.01E+00, ext_position_loss:9.27E-02,
val_total_loss:1.10E-01, val_vector_loss:1.02E+00, val_position_loss:1.05E-01,
ext_total_loss:1.20E-01, ext_vector_loss:1.30E+00, ext_position_loss:1.13E-01,
val_total_loss:1.07E-01, val_vector_loss:1.37E+00, val_position_loss:1.01E-01,
ext_total_loss:1.17E-01, ext_vector_loss:1.62E+00, ext_position_loss:1.08E-01,
val_total_loss:7.25E-02, val_vector_loss:1.68E+00, val_position_loss:6.41E-02,
ext_total_loss:8.09E-02, ext_vector_loss:1.91E+00, ext_position_loss:7.13E-02,
val_total_loss:3.49E-02, val_vector_loss:2.62E+00, val_position_loss:2.18E-02,
ext_total_loss:3.91E-02, ext_vector_loss:2.78E+00, ext_position_loss:2.52E-02,
val_total_loss:7.53E-02, val_vector_loss:5.33E+00, val_position_loss:4.87E-02,
ext_total_loss:7.11E-02, ext_vector_loss:5.24E+00, ext_position_loss:4.49E-02,
val_total_loss:1.09E-01, val_vector_loss:6.15E+00, val_position_loss:7.87E-02,
ext_total_loss:1.04E-01, ext_vector_loss:6.25E+00, ext_position_loss:7.27E-02,
val_total_loss:9.99E-02, val_vector_loss:4.86E+00, val_position_loss:7.56E-02,
ext_total_loss:9.51E-02, ext_vector_loss:5.10E+00, ext_position_loss:6.96E-02,
val_total_loss:6.67E-02, val_vector_loss:2.53E+00, val_position_loss:5.41E-02,
ext_total_loss:7.41E-02, ext_vector_loss:2.83E+00, ext_position_loss:5.99E-02,
val_total_loss:5.00E-02, val_vector_loss:8.45E-01, val_position_loss:4.57E-02,
ext_total_loss:5.98E-02, ext_vector_loss:1.17E+00, ext_position_loss:5.40E-02,
val_total_loss:6.82E-02, val_vector_loss:7.05E-01, val_position_loss:6.47E-02,
ext_total_loss:8.04E-02, ext_vector_loss:1.03E+00, ext_position_loss:7.53E-02,
val_total_loss:1.02E-01, val_vector_loss:1.01E+00, val_position_loss:9.70E-02,
ext_total_loss:1.10E-01, ext_vector_loss:1.29E+00, ext_position_loss:1.04E-01,
val_total_loss:1.12E-01, val_vector_loss:1.29E+00, val_position_loss:1.06E-01,
ext_total_loss:1.20E-01, ext_vector_loss:1.54E+00, ext_position_loss:1.12E-01,
val_total_loss:9.17E-02, val_vector_loss:1.55E+00, val_position_loss:8.40E-02,
ext_total_loss:9.92E-02, ext_vector_loss:1.75E+00, ext_position_loss:9.04E-02,
val_total_loss:4.51E-02, val_vector_loss:1.85E+00, val_position_loss:3.58E-02,
ext_total_loss:5.28E-02, ext_vector_loss:2.05E+00, ext_position_loss:4.26E-02,
val_total_loss:4.11E-02, val_vector_loss:3.05E+00, val_position_loss:2.58E-02,
ext_total_loss:4.03E-02, ext_vector_loss:3.06E+00, ext_position_loss:2.50E-02,
val_total_loss:9.27E-02, val_vector_loss:4.85E+00, val_position_loss:6.85E-02,
ext_total_loss:8.79E-02, ext_vector_loss:4.91E+00, ext_position_loss:6.34E-02,

ext_total_loss:8.16E-02, ext_vector_loss:2.67E+00, ext_position_loss:6.83E-02,
ext_total_loss:1.03E-01, ext_vector_loss:5.05E+00, ext_position_loss:7.82E-02,
val_total_loss:7.70E-02, val_vector_loss:3.04E+00, val_position_loss:6.18E-02,
ext_total_loss:7.91E-02, ext_vector_loss:3.31E+00, ext_position_loss:6.25E-02,
val_total_loss:5.39E-02, val_vector_loss:1.62E+00, val_position_loss:4.58E-02,
ext_total_loss:6.18E-02, ext_vector_loss:1.95E+00, ext_position_loss:5.21E-02,
val_total_loss:4.83E-02, val_vector_loss:1.53E+00, val_position_loss:4.06E-02,
ext_total_loss:6.03E-02, ext_vector_loss:1.80E+00, ext_position_loss:5.13E-02,
val_total_loss:8.85E-02, val_vector_loss:1.68E+00, val_position_loss:8.01E-02,
ext_total_loss:9.52E-02, ext_vector_loss:1.91E+00, ext_position_loss:8.57E-02,
val_total_loss:1.10E-01, val_vector_loss:1.90E+00, val_position_loss:1.00E-01,
ext_total_loss:1.16E-01, ext_vector_loss:2.09E+00, ext_position_loss:1.06E-01,
val_total_loss:1.03E-01, val_vector_loss:2.15E+00, val_position_loss:9.20E-02,
ext_total_loss:1.09E-01, ext_vector_loss:2.33E+00, ext_position_loss:9.73E-02,
val_total_loss:6.69E-02, val_vector_loss:2.57E+00, val_position_loss:5.40E-02,
ext_total_loss:7.33E-02, ext_vector_loss:2.74E+00, ext_position_loss:5.96E-02,
val_total_loss:3.26E-02, val_vector_loss:3.46E+00, val_position_loss:1.54E-02,
ext_total_loss:4.06E-02, ext_vector_loss:3.62E+00, ext_position_loss:2.25E-02,
val_total_loss:7.23E-02, val_vector_loss:4.85E+00, val_position_loss:4.81E-02,
ext_total_loss:6.89E-02, ext_vector_loss:5.00E+00, ext_position_loss:4.39E-02,
val_total_loss:1.01E-01, val_vector_loss:5.46E+00, val_position_loss:7.33E-02,
ext_total_loss:9.76E-02, ext_vector_loss:5.64E+00, ext_position_loss:6.94E-02,
val_total_loss:9.11E-02, val_vector_loss:4.80E+00, val_position_loss:6.72E-02,
ext_total_loss:8.84E-02, ext_vector_loss:5.02E+00, ext_position_loss:6.33E-02,
val_total_loss:5.36E-02, val_vector_loss:3.84E+00, val_position_loss:3.44E-02,
ext_total_loss:6.37E-02, ext_vector_loss:4.08E+00, ext_position_loss:4.33E-02,
val_total_loss:5.09E-02, val_vector_loss:2.79E+00, val_position_loss:3.69E-02,
ext_total_loss:5.95E-02, ext_vector_loss:3.04E+00, ext_position_loss:4.44E-02,
val_total_loss:7.41E-02, val_vector_loss:2.32E+00, val_position_loss:6.25E-02,
ext_total_loss:7.96E-02, ext_vector_loss:2.54E+00, ext_position_loss:6.69E-02,
val_total_loss:9.61E-02, val_vector_loss:2.30E+00, val_position_loss:8.47E-02,
ext_total_loss:1.02E-01, ext_vector_loss:2.48E+00, ext_position_loss:8.91E-02,
val_total_loss:9.29E-02, val_vector_loss:2.54E+00, val_position_loss:8.02E-02,
ext_total_loss:9.81E-02, ext_vector_loss:2.70E+00, ext_position_loss:8.46E-02,
val_total_loss:6.47E-02, val_vector_loss:3.12E+00, val_position_loss:4.91E-02,
ext_total_loss:7.19E-02, ext_vector_loss:3.26E+00, ext_position_loss:5.56E-02,
val_total_loss:4.37E-02, val_vector_loss:4.04E+00, val_position_loss:2.35E-02,
ext_total_loss:4.58E-02, ext_vector_loss:4.18E+00, ext_position_loss:2.49E-02,
val_total_loss:7.17E-02, val_vector_loss:4.99E+00, val_position_loss:4.68E-02,
ext_total_loss:6.91E-02, ext_vector_loss:5.14E+00, ext_position_loss:4.34E-02,
val_total_loss:9.58E-02, val_vector_loss:5.34E+00, val_position_loss:6.91E-02,
ext_total_loss:9.37E-02, ext_vector_loss:5.52E+00, ext_position_loss:6.61E-02,
val_total_loss:8.27E-02, val_vector_loss:4.71E+00, val_position_loss:5.91E-02,
ext_total_loss:8.09E-02, ext_vector_loss:4.94E+00, ext_position_loss:5.62E-02,
val_total_loss:5.02E-02, val_vector_loss:3.40E+00, val_position_loss:3.32E-02,
ext_total_loss:6.21E-02, ext_vector_loss:3.68E+00, ext_position_loss:4.37E-02,
val_total_loss:4.74E-02, val_vector_loss:2.47E+00, val_position_loss:3.51E-02,
ext_total_loss:5.63E-02, ext_vector_loss:2.73E+00, ext_position_loss:4.27E-02,
val_total_loss:7.45E-02, val_vector_loss:2.23E+00, val_position_loss:6.34E-02,
ext_total_loss:7.94E-02, ext_vector_loss:2.45E+00, ext_position_loss:6.71E-02,
val_total_loss:8.87E-02, val_vector_loss:2.29E+00, val_position_loss:7.72E-02,
ext_total_loss:9.35E-02, ext_vector_loss:2.48E+00, ext_position_loss:8.11E-02,
val_total_loss:7.69E-02, val_vector_loss:2.48E+00, val_position_loss:6.44E-02,

  4%|█████▋                                                                                                                                              | 77/2000 [00:06<02:29, 12.82it/s]
val_total_loss:4.39E-02, val_vector_loss:2.90E+00, val_position_loss:2.94E-02,
ext_total_loss:4.86E-02, ext_vector_loss:3.10E+00, ext_position_loss:3.32E-02,
val_total_loss:4.34E-02, val_vector_loss:3.60E+00, val_position_loss:2.54E-02,
ext_total_loss:4.22E-02, ext_vector_loss:3.82E+00, ext_position_loss:2.31E-02,
val_total_loss:7.29E-02, val_vector_loss:4.15E+00, val_position_loss:5.22E-02,
ext_total_loss:7.12E-02, ext_vector_loss:4.41E+00, ext_position_loss:4.91E-02,
val_total_loss:7.95E-02, val_vector_loss:4.14E+00, val_position_loss:5.89E-02,
ext_total_loss:7.80E-02, ext_vector_loss:4.42E+00, ext_position_loss:5.59E-02,
val_total_loss:6.36E-02, val_vector_loss:3.75E+00, val_position_loss:4.48E-02,
ext_total_loss:7.28E-02, ext_vector_loss:4.05E+00, ext_position_loss:5.25E-02,
val_total_loss:4.90E-02, val_vector_loss:3.26E+00, val_position_loss:3.27E-02,
ext_total_loss:6.12E-02, ext_vector_loss:3.55E+00, ext_position_loss:4.34E-02,
val_total_loss:5.31E-02, val_vector_loss:2.86E+00, val_position_loss:3.88E-02,
ext_total_loss:5.95E-02, ext_vector_loss:3.12E+00, ext_position_loss:4.39E-02,
val_total_loss:7.60E-02, val_vector_loss:2.75E+00, val_position_loss:6.23E-02,
ext_total_loss:8.12E-02, ext_vector_loss:2.98E+00, ext_position_loss:6.63E-02,
val_total_loss:7.65E-02, val_vector_loss:2.90E+00, val_position_loss:6.20E-02,
ext_total_loss:8.18E-02, ext_vector_loss:3.12E+00, ext_position_loss:6.62E-02,
val_total_loss:6.25E-02, val_vector_loss:3.30E+00, val_position_loss:4.60E-02,
ext_total_loss:6.07E-02, ext_vector_loss:3.53E+00, ext_position_loss:4.30E-02,
val_total_loss:4.94E-02, val_vector_loss:3.82E+00, val_position_loss:3.03E-02,
ext_total_loss:4.91E-02, ext_vector_loss:4.07E+00, ext_position_loss:2.88E-02,
val_total_loss:5.91E-02, val_vector_loss:4.15E+00, val_position_loss:3.84E-02,
ext_total_loss:5.70E-02, ext_vector_loss:4.43E+00, ext_position_loss:3.48E-02,
val_total_loss:7.02E-02, val_vector_loss:4.11E+00, val_position_loss:4.96E-02,
ext_total_loss:7.20E-02, ext_vector_loss:4.41E+00, ext_position_loss:4.99E-02,
val_total_loss:7.67E-02, val_vector_loss:3.85E+00, val_position_loss:5.74E-02,
ext_total_loss:8.54E-02, ext_vector_loss:4.16E+00, ext_position_loss:6.46E-02,
val_total_loss:6.39E-02, val_vector_loss:3.51E+00, val_position_loss:4.63E-02,
ext_total_loss:7.25E-02, ext_vector_loss:3.82E+00, ext_position_loss:5.34E-02,
val_total_loss:4.52E-02, val_vector_loss:3.18E+00, val_position_loss:2.93E-02,
ext_total_loss:5.60E-02, ext_vector_loss:3.46E+00, ext_position_loss:3.87E-02,
val_total_loss:6.49E-02, val_vector_loss:3.05E+00, val_position_loss:4.97E-02,
ext_total_loss:7.08E-02, ext_vector_loss:3.31E+00, ext_position_loss:5.42E-02,
val_total_loss:7.08E-02, val_vector_loss:3.20E+00, val_position_loss:5.48E-02,
ext_total_loss:7.26E-02, ext_vector_loss:3.45E+00, ext_position_loss:5.53E-02,
val_total_loss:7.81E-02, val_vector_loss:3.52E+00, val_position_loss:6.05E-02,
ext_total_loss:7.45E-02, ext_vector_loss:3.77E+00, ext_position_loss:5.56E-02,
val_total_loss:5.52E-02, val_vector_loss:3.77E+00, val_position_loss:3.63E-02,
ext_total_loss:5.33E-02, ext_vector_loss:4.04E+00, ext_position_loss:3.31E-02,
val_total_loss:4.45E-02, val_vector_loss:3.86E+00, val_position_loss:2.52E-02,
ext_total_loss:4.53E-02, ext_vector_loss:4.15E+00, ext_position_loss:2.46E-02,
val_total_loss:6.57E-02, val_vector_loss:3.78E+00, val_position_loss:4.67E-02,
ext_total_loss:7.33E-02, ext_vector_loss:4.08E+00, ext_position_loss:5.29E-02,
val_total_loss:7.99E-02, val_vector_loss:3.64E+00, val_position_loss:6.18E-02,
ext_total_loss:8.76E-02, ext_vector_loss:3.94E+00, ext_position_loss:6.79E-02,
val_total_loss:6.57E-02, val_vector_loss:3.42E+00, val_position_loss:4.86E-02,
ext_total_loss:7.30E-02, ext_vector_loss:3.71E+00, ext_position_loss:5.44E-02,
val_total_loss:4.04E-02, val_vector_loss:3.19E+00, val_position_loss:2.44E-02,
ext_total_loss:5.12E-02, ext_vector_loss:3.46E+00, ext_position_loss:3.39E-02,
val_total_loss:5.07E-02, val_vector_loss:3.10E+00, val_position_loss:3.52E-02,


  6%|█████████▍                                                                                                                                         | 129/2000 [00:10<02:27, 12.67it/s]
val_total_loss:7.67E-02, val_vector_loss:3.15E+00, val_position_loss:6.09E-02,
ext_total_loss:7.38E-02, ext_vector_loss:3.38E+00, ext_position_loss:5.69E-02,
val_total_loss:7.85E-02, val_vector_loss:3.24E+00, val_position_loss:6.23E-02,
ext_total_loss:7.54E-02, ext_vector_loss:3.46E+00, ext_position_loss:5.81E-02,
val_total_loss:5.00E-02, val_vector_loss:3.33E+00, val_position_loss:3.34E-02,
ext_total_loss:4.72E-02, ext_vector_loss:3.57E+00, ext_position_loss:2.94E-02,
